Day,2014,2015,2016,2017,2018
0,1600000,1600000,1600000,1600000,1600000
1,2682056,3527102,4204753,4782066,5669282
2,3412386,4551752,5351325,5939229,6778536
3,3887103,5131860,5942380,6573269,7450646
4,4359369,5599591,6437459,7049884,8004083
5,4751090,5980978,6853407,7422856,8391285
6,5032238,6334299,7158775,7750340,8686008
7,5293739,6621347,7396324,8037183,8958257
8,5556659,6925868,7602951,8329028,9184922
9,5757481,7195787,7789988,8604665,9396175
10,5920247,7385511,7959459,8811893,9600240
11,6077071,7557339,8130982,9006280,9808825
12,6237971,7705689,8308129,9177298,9981221
13,6362555,7857829,8447025,9333681,10134810
14,6491085,7993835,8576253,9541195,10272276
15,6626895,8149170,8706944,9878312,10397017
16,6730669,8286128,8830233,10120381,10523008
17,6829365,8390569,8986853,10290247,10758954
18,6916236,8486207,9140407,10432568,10944702
19,6993768,8574268,9978024,10566308,11089205
20,7072585,8649109,10291207,10691014,11217409
21,7149563,8721204,10505781,10820650,11336428
22,7820603,8828932,10694613,11096881,11450136
23,8108294,8918565,10866562,11890638,11566586
24,8311263,8990314,11043369,12177088,12347785
25,8480723,9065465,11208989,12398378,12649762
26,8613332,9138751,11398163,12577375,12843582
27,8729162,9205726,11543930,12744358,12995258
28,8848570,9471543,11670204,12901390,13135731
29,8945598,9849911,11793739,13063795,13263170
30,9042588,10061310,11905802,13331089,13380785
31,9128411,10222959,12012902,13496924,13507794
32,9210967,10367032,12115460,13636830,13640505
33,9287343,10489378,12233618,13767525,13756369
34,9345867,10596326,12328335,13884819,13852629
35,9408750,11054546,12416395,14011392,13944010
36,9479952,11921890,12501438,14234675,14040858
37,9539580,12299289,12584611,14424616,14134985
38,9593305,12553290,13209300,14561007,14254873
39,9605399,12769750,13483039,14671288,14360418
40,9649285,12962955,13674490,14774699,14450428
41,9694440,13135147,13802785,14870505,14525769
42,9744198,13277064,13983334,14973529,14601490
43,9795226,13430689,14119178,15142627,14672504
44,9840480,13557865,14262327,15590465,14738261
45,9880467,13672518,15387465,15793920,14806923
46,9916212,13779775,15951107,15949736,15197598
47,9951433,13880366,16369896,16086718,15351086
48,9983165,13960703,16641896,16209431,15466461
49,10019255,14048013,16796806,16992629,15567423
50,10059037,14148485,16884682,18292293,15662939
51,10095225,14238011,16964503,18926790,17680704
52,10124692,14316457,17054893,19367048,18353247
53,10202874,14394469,17133208,19602565,18838363
54,10252018,14466326,17211390,19682293,19210838
55,10294087,14533884,17280216,19756815,19448931
56,10355167,14607065,17350285,19834935,19522493
57,10403840,14686789,17465929,19924919,19595011
58,10445503,14763389,17561528,20033897,19662356
59,10482631,14825797,17654755,20108687,19727561
60,10525420,14883965,17775803,20178843,19793223
61,10566884,14955309,17854576,20244454,19855001
62,10604889,15020846,17929620,20307893,19909807
63,10645383,15089945,17998014,20375051,19966064
64,10684610,15169886,18061671,20456251,20023277
65,10720393,15238518,18122882,20552932,20077275
66,10748667,15298512,18182393,20619847,20139382
67,10780082,15357709,18247581,20684404,20201341
68,10807186,15412737,18301005,20743774,20255170
69,10829017,15484676,18359418,20799069,20304580
70,10858302,15606609,18422288,20858107,20354022
71,10889695,15816027,18705515,21041932,20454702
72,10922374,16053167,18842385,21299951,20518880
73,10931105,16256289,18978172,21444778,20586505
74,10931105,16406367,19100736,21555721,21452060
75,10931105,16526550,19197132,21661116,21698516
76,10931105,16635519,19314506,21753959,21858215
77,10931105,16731571,19483098,21843017,21981907
78,10931105,16828179,19606500,21939541,22095377
79,10931105,16911242,19708735,22052677,22200310
80,10931105,16996918,19811862,22138001,22300135
81,10931105,17075261,19931066,22208941,22396909
82,10931105,17152848,20019637,22286715,22479044
83,10931105,17223223,20095993,22463842,22550986
84,10931105,17293282,20177348,22574590,22628314
85,10931105,17367867,20259449,22686422,22909942
86,10931105,17438375,20387324,22901190,23037184
87,10931105,17503982,20526826,23032219,23241954
88,10931105,17576223,20689308,23145090,23376879
89,10931105,17647856,20770460,23257988,23474278
90,10931105,17705500,20770460,23377447,23556049
91,10931105,17772881,20770460,23496150,23651527
92,10931105,17852049,20770460,23620300,23731444
93,10931105,17926651,20770460,23746445,23806053
94,10931105,17975449,20770460,23881615,23882433
95,10931105,18044518,20770460,23989300,24028898
96,10931105,18110958,20770460,24091451,24126433
97,10931105,18175406,20770460,24197887,24229913
98,10931105,18241095,20770460,24318726,24316851
99,10931105,18323221,20770460,24469876,24409647
100,10931105,18416970,20770460,24654624,24488958
101,10931105,18429613,20770460,24770132,24588578
102,10931105,18429613,20770460,24787916,24681591
103,10931105,18429613,20770460,24787916,24778177
104,10931105,18429613,20770460,24787916,24857152
105,10931105,18429613,20770460,24787916,24961369
106,10931105,18429613,20770460,24787916,25073673
107,10931105,18429613,20770460,24787916,25175345
108,10931105,18429613,20770460,24787916,25290124
109,10931105,18429613,20770460,24787916,25439270
110,10931105,18429613,20770460,24787916,25532022
111,10931105,18429613,20770460,24787916,25532177
