Player,Matches,KDA,Kills,Deaths,Assists,LH,DN,GPM,XPM,,
Resolution,12-Apr,6.82,8.63,2.81,10.56,347.94,11.94,607,601,,
Arteezy,13-Mar,6.03,10.06,3.81,12.94,216.06,15.56,541,592,,
Sumail,13-Mar,5.33,10.06,4.38,13.25,251.5,12,585,593,,
S4,13-Mar,5.09,7.38,4.31,14.56,173.5,10.75,475,554,,
MindControl,13-Mar,4.96,6.88,4.19,13.88,204.5,11.81,479,546,,
NoOne,10-Jun,6.15,9.06,3.31,11.31,289.63,15.94,583,627,,
YaWar,12-Apr,4.92,8.81,3.81,9.94,306.38,16,562,578,,
Miracle,13-Mar,4.45,12.44,5.13,10.38,283.75,17,608,651,,
Ramzes666,10-Jun,5.61,9.5,3.88,12.25,291.13,16.19,575,630,,
pasha,10-Jun,5.11,6.06,3.56,12.13,184.69,7.63,457,499,,
Crit,13-Mar,3.91,4.06,5.5,17.44,52.81,3.38,317,449,,
MATUMBAMAN,13-Mar,3.77,8.88,5.5,11.88,216.88,7.25,537,574,,
YapzOr,09-Aug,5.39,5.12,3.88,15.82,75.88,3.76,310,436,,
Sneyking,12-Apr,3.91,5.06,5.31,15.69,257.75,12.63,499,523,,
Pajkatt,09-Aug,4.98,6.71,3.29,9.71,258.41,16.59,524,571,,
Moogy,08-Oct,5.6,7.56,3.5,12.06,298.44,10.5,531,589,,
Maybe,11-May,3.96,9,4.63,9.31,324.38,11.38,605,619,,
Ace,09-Aug,4.82,9.41,4,9.88,255.12,12.59,499,523,,
Chalice,11-May,3.85,6.81,5.25,13.38,204.81,11.06,448,514,,
gh,13-Mar,3.22,3.88,7.31,19.69,46.75,2.75,304,446,,
MSS,12-Apr,3.25,3.69,5.5,14.19,71,5.31,328,433,,
KuroKy,13-Mar,2.88,3,7.38,18.25,66.38,2.19,319,412,,
RodjER,10-Jun,3.72,4.25,5.31,15.5,54.75,4.75,296,419,,
Sccc,08-Oct,4.64,9.28,4.28,10.56,337.89,13.28,568,583,,
Ame,11-May,3.29,7.5,5.19,9.56,304.56,12.63,577,592,,
Fly,13-Mar,2.75,3.38,7.31,16.75,69.31,4.63,328,408,,
SVG,12-Apr,2.95,2.81,6.31,15.81,50.56,3.38,292,366,,
Fata,09-Aug,3.81,6.88,5.06,12.41,223.47,8.59,467,492,,
fy,11-May,3.1,5.06,6.56,15.25,88.94,3.38,348,487,,
Universe,07-Sep,4.85,6,3.75,12.19,200.94,13.38,441,459,,
MidOne,09-Aug,3.74,5.29,4.76,12.53,294.76,16.41,530,532,,
XinQ,07-Sep,4.76,7.19,3.38,8.88,236.06,14.38,520,565,,
Paparazi,07-Sep,4.69,5.94,3.19,9,253.06,12.19,498,515,,
